run_id,run_role,sample_index,unit_id,response_id,model,status,api_status,incomplete_reason,usage_available,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,response_path,response_sha256,request_sha256,started_at_utc,finished_at_utc,duplicate_response_id
pilot_f3a69c2f81c587271ef5,pilot,0,utt_826958a471b195e53f39::p0001-p0002,resp_00328675b6efd8d9016aa0666cdb9c87d1b38ad68ad98168d0,gpt-5.6-luna,completed,completed,,True,5926,5923,385,289,6311,output/annotations/pilot_f3a69c2f81c587271ef5/results/00000.json,081a6e3c46795447c7e1fb2f5edb91df802fe9393270cfe07bd35380b4a771fa,064f0e44a32b02f8ca9b1967c971afdddab243965203c018b53989d1a40a0c20,2026-09-08T19:47:56.352166+00:00,2026-09-08T19:48:04.192892+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,1,utt_826958a471b195e53f39::p0003-p0005,resp_041fddeb62a645a5016aa0666cdb8c87d19c0f174310b738fd,gpt-5.6-luna,completed,completed,,True,6076,5336,467,375,6543,output/annotations/pilot_f3a69c2f81c587271ef5/results/00001.json,6ac618f600fa2fdc28f9c8370c5477c67912ed32672b75f2226c5eb3ae79c5c1,0938a7628af624ba4b721dac342a1794111059abb4773b6e64280a8d8dbdc26c,2026-09-08T19:47:56.355046+00:00,2026-09-08T19:48:05.308200+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,2,utt_826958a471b195e53f39::p0006-p0011,resp_03d24695519e108e016aa0666cda0087d1bf25f47d68b29d6d,gpt-5.6-luna,completed,completed,,True,6058,5336,7077,6732,13135,output/annotations/pilot_f3a69c2f81c587271ef5/results/00002.json,c413ce5a3382316c8e9b2d9201a05d4a6c420a36c3f7294ee18bb09b985c14fb,313c61e85e25d8562ba3bbd9b619948750df786bd48ee26ad28f047e827fd5f9,2026-09-08T19:47:56.355853+00:00,2026-09-08T19:49:35.757475+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,3,utt_826958a471b195e53f39::p0012-p0017,resp_08fd295d6e6ad3c7016aa0666cdde087d1a7c646dedd924e3f,gpt-5.6-luna,completed,completed,,True,5964,5336,783,668,6747,output/annotations/pilot_f3a69c2f81c587271ef5/results/00003.json,8a47784232aea0c13f0ca8e91ff1914df72cc6883ab0db65dfdea66705066b87,4c64dbe1805de51ebdd41f67ccdc552b87adc0e0038836d58964747681272452,2026-09-08T19:47:56.361333+00:00,2026-09-08T19:48:09.330149+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,4,utt_826958a471b195e53f39::p0018-p0020,resp_044c9eaf372bb56f016aa0666d079487d1bca7b80465685cc5,gpt-5.6-luna,completed,completed,,True,6016,5336,12409,11912,18425,output/annotations/pilot_f3a69c2f81c587271ef5/results/00004.json,5401bb140773975fe95476441aef7b46e659cae3f1de22c078b9147bacf359b5,cde9be5211dd1e1e1ba6fb895db9feb69bc3295074df310bf2a13f5e114427a3,2026-09-08T19:47:56.361419+00:00,2026-09-08T19:50:44.135018+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,5,utt_826958a471b195e53f39::p0021-p0022,resp_027b1e25d5ff998a016aa0666ce0e087d1b64fd9bcbe2a61bd,gpt-5.6-luna,completed,completed,,True,5987,5336,624,516,6611,output/annotations/pilot_f3a69c2f81c587271ef5/results/00005.json,590e27a1b648c975725e1bb1fc0a62eca06a68f825024b58d8742114120bccbd,94e1a0878597cd42f74f4453a1b933da159cb6bbd83b34c271365843bec9a8bd,2026-09-08T19:47:56.361382+00:00,2026-09-08T19:48:07.166331+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,6,utt_826958a471b195e53f39::p0023-p0027,resp_0e3f3def2a651c87016aa0667465cc87d18762d1f4b854c850,gpt-5.6-luna,completed,completed,,True,5952,5336,6281,6122,12233,output/annotations/pilot_f3a69c2f81c587271ef5/results/00006.json,564cbdad2ed3fb45c971d07b1e8fef6cecd707721aeffafe08e240619d22d16b,47b403d6a71fd57040eefcddfcfed0435bd6634f68a7fb74fbc58e3c00a02a35,2026-09-08T19:48:04.196568+00:00,2026-09-08T19:49:33.997395+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,7,utt_826958a471b195e53f39::p0028,resp_07a11296b9d1d4f0016aa06675860487d1b208e7391267b60f,gpt-5.6-luna,completed,completed,,True,5878,5336,596,491,6474,output/annotations/pilot_f3a69c2f81c587271ef5/results/00007.json,84fd535617217ea54829e26ea815e9cbce5df2a92e5cf31f53f835f10bd30337,9e0977b1dbdc3047d577852cb4b942251f11dbd7126409dccb756cfaf4500e53,2026-09-08T19:48:05.314412+00:00,2026-09-08T19:48:15.412327+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,8,utt_826958a471b195e53f39::p0029-p0030,resp_0f26736faa6b1a82016aa0667763fc87d18aab68139f8ba6af,gpt-5.6-luna,completed,completed,,True,5917,5336,796,661,6713,output/annotations/pilot_f3a69c2f81c587271ef5/results/00008.json,41ce28b4e926faab4fa5ce946afde6ad7cb211d9c1480f4eabb62e6d00b2d9da,da53bf3232e28a65f157ff77568ccf0a56bd39f190c152ab48699ad93983af7d,2026-09-08T19:48:07.172923+00:00,2026-09-08T19:48:19.753726+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,9,utt_826958a471b195e53f39::p0031-p0033,resp_067ec84e44cd2ede016aa0667983f087d1b004817785db2d35,gpt-5.6-luna,completed,completed,,True,5841,5336,655,516,6496,output/annotations/pilot_f3a69c2f81c587271ef5/results/00009.json,0f46b4c52a2d5f4f5c9e9376dd5bad5af40b92b14cd8d612e40f3dc35efa04c7,26ca08eae870746a4a00ed512d8816f80b01f1e4813b0a2dedf80a01fe5dd37c,2026-09-08T19:48:09.335381+00:00,2026-09-08T19:48:20.985016+00:00,False
