person_href,person_id,speaker_ids,speaker_names_seen,roles_seen,participation_count,document_count,first_row_index,first_title,first_date
http://datos.bcn.cl/recurso/persona/4216,4216,"['PersonaBCN4216', 'per84']",['Mario Marcel Cullell'],['Ministro de Hacienda'],11,3,1,1.12. Discusión en Sala,2024-01-23
http://datos.bcn.cl/recurso/persona/4471,4471,"['PersonaBCN4471', 'per7', 'per82']",['Miguel Landeros Perkic'],['Secretario General de la Cámara de Diputadas y Diputados'],26,3,1,1.12. Discusión en Sala,2024-01-23
http://datos.bcn.cl/recurso/persona/4521,4521,['PersonaAut87'],['manuel jose ossandon irarrazabal'],[],10,1,3,2.4. Discusión en Sala,2025-01-27
http://datos.bcn.cl/recurso/persona/4528,4528,['PersonaBCN4528'],['bernardo jose berger fett'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4540,4540,['PersonaBCN4540'],['renzo aldo trisotti martinez'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4552,4552,['PersonaBCN4552'],['alejandro javier bernales maldonado'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4558,4558,['PersonaBCN4558'],['alvaro jorge carter fernandez'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4564,4564,['PersonaBCN4564'],['hugo vicente rey martinez'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4567,4567,['PersonaBCN4567'],['Jorge Andrés Durán Espinoza'],[],2,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4568,4568,['PersonaBCN4568'],['juan manuel fuenzalida cobo'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4576,4576,['PersonaBCN4576'],['maite orsini pascal'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4594,4594,['PersonaBCN4594'],['camila alejandra flores oporto'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4602,4602,['PersonaBCN4602'],['gonzalo rodolfo winter etcheberry'],[],2,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4604,4604,['PersonaBCN4604'],['jorge ivan alessandri vergara'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4621,4621,['PersonaBCN4621'],['erika olivera de la fuente'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/4740,4740,['PersonaBCN4740'],['Roberto Antonio Celedón Fernández'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/5188,5188,['PersonaBCN5188'],['yovana ahumada palma'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/5191,5191,['PersonaBCN5191'],['sebastian videla castillo'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/5199,5199,['PersonaBCN5199'],['victor pino fuentes'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/5204,5204,['PersonaBCN5204'],['marcia raphael mora'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/5207,5207,['PersonaBCN5207'],['hernan palma perez'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/5209,5209,"['PersonaBCN5209', 'per139']",['daniela serrano salazar'],[],3,2,2,1.13. Discusión en Sala,2024-01-24
http://datos.bcn.cl/recurso/persona/5210,5210,['PersonaBCN5210'],['jaime saez quiroz'],[],4,1,4,3.1. Discusión en Sala,2025-01-29
http://datos.bcn.cl/recurso/persona/5211,5211,['PersonaBCN5211'],['ana maria gazmuri vieira'],[],1,1,4,3.1. Discusión en Sala,2025-01-29
