"day","created_at","user","text","Argument1","Topic.1","Position.1","Argument2","Topic.2","Position.2","Argument3","Topic.3","Position.3","Strategy","X","party","community"
"21/09/2014","21/09/2014 02:07","9da2d290","Gerard van Elsen inteviewt Jolanda Verburg -oa lijsttrekker  de  Groenen- https://www.youtube.com/watch?v=a2Mf7pWPYY0&feature=youtu.be&t=11m50s … #Flowtowns #Basisinkomen","","","","","","","","","","Recommend","",NA,NA
"21/09/2014","21/09/2014 06:27","ebd9bec4","@6b68f885 @d1164dfd @939026a7 Ja er wordt totaal > 80 miljard p.j.uitgekeerd aan soc. uitkeringenn omzetten in basisinkomen.nl","DEREGULATION","Deregulation","Pro","","","","","","","","",NA,1
"21/09/2014","21/09/2014 06:53","ebd9bec4","Nieuw belastingstelsel via @a6c38069 vereenvoudiging i.d.p. basisinkomen.nl http://bit.ly/1rbGKxT ","DEREGULATION","Deregulation","Pro","","","","","","","","",NA,1
"21/09/2014","21/09/2014 07:09","ebd9bec4","@6724b110 voorzetje belasting herziening.","","","","","","","","","","Part","",NA,1
"21/09/2014","21/09/2014 07:11","ebd9bec4","@6724b110 92 miljard zorg , 20 % naar basisinkomen.Dan hebben 14 miljoen mensen 'n basisinkomen van > 700 euro per maand","AFFORDABLE","Affordable","Pro","","","","","","","","",NA,1
"21/09/2014","21/09/2014 07:14","ebd9bec4","@a6c38069 vertel toen het basisinkomen AOW werd ingevoerd in de 50 e jaren de economie kreeg 'n enorm impuls ","GROWTH","Economic growth","Pro","","","","","","","Claim","",NA,1
"21/09/2014","21/09/2014 07:18","ebd9bec4","@6724b110 toen het basisinkomen AOW werd ingevoerd trok de economie enorm aan . Met OBI bestaat de WW ,Bijstand ,AOW niet meer .","DEREGULATION","Deregulation","Pro","","","","","","","","",NA,1
"21/09/2014","21/09/2014 07:19","ebd9bec4","@6724b110 bestudeer ook mijn site mixfondsenentrackersvanbert.nl heb v.a mijn 55 jaar basisinkomen.nl met het hoogste risicoprofiel.","","","","","","","","","","","",NA,1
"21/09/2014","21/09/2014 08:00","c5f777b1","@82ca0df9 schrijft over het basisinkomen experiment-in-wording van MIESLab: http://bit.ly/motherboardnl  #gratisgeld #tegenlicht","EXPERIMENT","Experimental","Pro","","","","","","","Recommend","",NA,1
"21/09/2014","21/09/2014 08:07","09386e0e","Laat ik vandaag uitroepen tot #basisinkomen-dag. Zin in #Tegenlicht vanavond. Basisinkomen uitgelegd, voors & tegens: http://www.vox.com/2014/9/8/6003359/basic-income-negative-income-tax-questions-explain …","","","","","","","","","","","",NA,1
"21/09/2014","21/09/2014 08:17","8978f5cf","@b57ef2bc Zie meermaals anderen azen op ""onze"" pensioengelden. Oa bij het debat aangaande basisinkomen","","","","","","","","","","","",NA,NA
"21/09/2014","21/09/2014 08:22","b57ef2bc","@8978f5cf uiteraard. Een pot van 1200 miljard is niet niks..","","","","","","","","","","Express","",NA,NA
