username;link;party;location;function;since;until
PauldeRook;twitter.com/PauldeRook;d66;Groningen;Wethouder;;Nu
gjvu;twitter.com/gjvu;vvd;Leeuwarden;Bestuurslid;;2017
marleenhaage;twitter.com/marleenhaage;pvda;Utrecht;Fractievoorzitter;2010;2017
BramFokke;twitter.com/BramFokke;d66;Utrecht;Gemeenteraadslid;2010;2015
harryvdmolen;twitter.com/harryvdmolen;cda;NL;Tweede-kamerlid;;Nu
jdvdborg;twitter.com/jdvdborg;cda;Apeldoorn;Fractievoorzitter;;Nu
FerryVeerman;twitter.com/FerryVeerman;cda;Edam-Volendam;Gemeenteraadslid;2003;2014
AadvanTongeren;twitter.com/AadvanTongeren;cda;Delft;;;Nu
Jossp1;twitter.com/Jossp1;sp;Smallingerland;Gemeenteraadslid;;Nu
okkodijkstra;twitter.com/okkodijkstra;cu;Stadskanaal;Gemeenteraadslid;2006;Nu
MartijnSiemes;twitter.com/MartijnSiemes;lokaal;Zutphen;Fractievoorzitter;2009;Nu
LauraPunt;twitter.com/LauraPunt;gl;Assen;Fractievoorzitter;2014;Nu
njoostens;twitter.com/njoostens;cu;Groningen;Gemeenteraadslid;;Nu
JelmerStaal;twitter.com/JelmerStaal;pvda;Leeuwarden;Gemeenteraadslid;2000;2016
Barttommelein;twitter.com/Barttommelein;lokaal;Oostende;Burgemeester;;Nu
brunobraakhuis;twitter.com/brunobraakhuis;pvdd;;;2012;Nu
sinasalim;twitter.com/sinasalim;d66;Ede;Gemeenteraadslid;2010;Nu
FritsVEndhoven;twitter.com/FritsVEndhoven;vvd;Maasdriel;Fractievoorzitter;;
maryfiers040;twitter.com/maryfiers040;pvda;NL;Eerste-kamerlid;2002;Nu
bennileemhuis;twitter.com/bennileemhuis;gl;Groningen;Fractievoorzitter;;Nu
HarryvHuijstee;twitter.com/HarryvHuijstee;pvda;Ede;Fractievoorzitter;;Nu
selcuk_nl;twitter.com/selcuk_nl;gl;Arnhem;Wethouder;;Nu
paul_d_jong;twitter.com/paul_d_jong;lokaal;Breda;Fractievoorzitter;;Nu
ReneeTeunissen;twitter.com/ReneeTeunissen;vvd;Zevenaar;Fractievoorzitter;;Nu
PaulusJansenSP;twitter.com/PaulusJansenSP;sp;Utrecht;Wethouder;2006;2014
veerleslegers;twitter.com/veerleslegers;sp;Tilburg;Statenlid;;2017
GroenLiesbeth;twitter.com/GroenLiesbeth;gl;NL;Tweede-kamerlid;2010;2017
AstridOosenbrug;twitter.com/AstridOosenbrug;pvda;NL;Tweede-kamerlid;2012;2017
VincentKoerse;twitter.com/VincentKoerse;gl;Waterland;Fractievoorzitter;;Nu
anniepostma;twitter.com/anniepostma;gl;Ten Boer;Wethouder;;Nu
CarelBruring;twitter.com/CarelBruring;gl;Goes;Fractievoorzitter;;Nu
LarsRoodenburg;twitter.com/LarsRoodenburg;d66;Leidsche Rijn;Gemeenteraadslid;;Nu
stijnverbruggen;twitter.com/stijnverbruggen;pvda;Nijmegen;Gemeenteraadslid;2006;2012
PaulVermast;twitter.com/PaulVermast;gl;Dronten;Fractievoorzitter;;Nu
fennaulichki;twitter.com/fennaulichki;gl;Amsterdam;;;Nu
hengelgj;twitter.com/hengelgj;vvd;Barneveld;Wethouder;;Nu
Pilotwin;twitter.com/Pilotwin;pvda;Oude Ijsselstreek;Burgemeester;;Nu
MarcHesp;twitter.com/MarcHesp;d66;Groningen;Gemeenteraadslid;;Nu
AnneMarieMineur;twitter.com/AnneMarieMineur;sp;EU;Europarlementarier;;Nu
TimZwertbroek;twitter.com/TimZwertbroek;d66;Groningen;Statenlid;;Nu
frisodouwstra;twitter.com/frisodouwstra;cda;Leeuwarden;Wethouder;;Nu
CarlienRoodink;twitter.com/CarlienRoodink;d66;Amsterdam;Gemeenteraadslid;2010;2014
LodewijkA;twitter.com/LodewijkA;pvda;NL;Partijleider;;Nu
geasmithbults;twitter.com/geasmithbults;gl;Assen;Wethouder;;Nu
dicokuiper;twitter.com/dicokuiper;pvda;Amersfoort;;2013;Nu
