actor,Individual ownership,Individual capitalization,Contributory reciprocity,Control,Financial sustainability,Solidarity,Pension adequacy,Need,Public responsibility
Senator A,1,1,1,1,1,-1,0,-1,0
Deputy B,1,1,1,1,1,-1,-1,-1,-1
AFP Association,1,1,1,0,1,-1,0,-1,-1
Senator B,1,1,1,0,1,0,1,0,0
Deputy A,1,1,1,1,1,-1,0,-1,0
Deputy C,-1,-1,-1,-1,0,1,1,1,1
Deputy D,-1,-1,-1,-1,-1,1,1,1,1
Trade Union,-1,-1,-1,0,0,1,1,1,1
Pensioners' Assoc.,0,-1,0,-1,0,1,1,1,1
Senator D,0,-1,0,0,1,1,1,1,1
Labour Minister,1,1,1,0,1,1,1,1,1
Senator C,1,0,1,0,1,1,1,1,0
