law,concept_id,oppose,support,total_posturas,proporcion_positiva,proporcion_negativa,concept_label,short_label,destacar_positivos,destacar_negativos
Ley 21.419,actitud,0,0,0,NA,NA,Actitud del beneficiario,Actitud del beneficiario,FALSE,FALSE
Ley 21.419,acuerdos_moderacion,1,26,27,0.9629629629629629,0.037037037037037035,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática",TRUE,FALSE
Ley 21.419,capitalizacion_individual,8,3,11,0.2727272727272727,0.7272727272727273,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento",FALSE,TRUE
Ley 21.419,conciencia_costos,18,14,32,0.4375,0.5625,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto",FALSE,TRUE
Ley 21.419,control_responsabilidad_individual,1,1,2,0.5,0.5,Control y responsabilidad individual,"Control y responsabilidad
individual",FALSE,FALSE
Ley 21.419,identidad,0,8,8,1,0,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal",FALSE,FALSE
Ley 21.419,igualdad_universalismo,2,36,38,0.9473684210526315,0.05263157894736842,Igualdad y universalismo,Igualdad y universalismo,TRUE,FALSE
Ley 21.419,ilegitimidad_origen_dictatorial,1,1,2,0.5,0.5,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial",FALSE,FALSE
Ley 21.419,ineficiencia_estado,0,0,0,NA,NA,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal",FALSE,FALSE
Ley 21.419,libertad_eleccion_previsional,0,2,2,1,0,Libertad de elección previsional,"Libertad de elección
previsional",FALSE,FALSE
Ley 21.419,necesidad_material,0,57,57,1,0,Necesidad material,Necesidad material,TRUE,FALSE
Ley 21.419,prevision_como_mercado,7,13,20,0.65,0.35,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos",FALSE,TRUE
Ley 21.419,propiedad_individual_fondos,0,3,3,1,0,Propiedad individual de los fondos,"Propiedad individual de
los fondos",FALSE,FALSE
Ley 21.419,reciprocidad_contributiva,0,20,20,1,0,Reciprocidad contributiva,Reciprocidad contributiva,FALSE,FALSE
Ley 21.419,solidaridad_intergeneracional,0,1,1,1,0,Solidaridad intergeneracional,"Solidaridad
intergeneracional",FALSE,FALSE
Ley 21.419,solidaridad_previsional_colectiva,0,14,14,1,0,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo",FALSE,FALSE
Ley 21.538,actitud,0,0,0,NA,NA,Actitud del beneficiario,Actitud del beneficiario,FALSE,FALSE
Ley 21.538,acuerdos_moderacion,0,6,6,1,0,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática",FALSE,FALSE
Ley 21.538,capitalizacion_individual,0,0,0,NA,NA,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento",FALSE,FALSE
Ley 21.538,conciencia_costos,3,3,6,0.5,0.5,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto",FALSE,TRUE
Ley 21.538,control_responsabilidad_individual,0,0,0,NA,NA,Control y responsabilidad individual,"Control y responsabilidad
individual",FALSE,FALSE
Ley 21.538,identidad,0,10,10,1,0,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal",FALSE,FALSE
Ley 21.538,igualdad_universalismo,1,27,28,0.9642857142857143,0.03571428571428571,Igualdad y universalismo,Igualdad y universalismo,TRUE,TRUE
Ley 21.538,ilegitimidad_origen_dictatorial,0,1,1,1,0,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial",FALSE,FALSE
Ley 21.538,ineficiencia_estado,0,0,0,NA,NA,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal",FALSE,FALSE
Ley 21.538,libertad_eleccion_previsional,0,2,2,1,0,Libertad de elección previsional,"Libertad de elección
previsional",FALSE,FALSE
Ley 21.538,necesidad_material,0,25,25,1,0,Necesidad material,Necesidad material,TRUE,FALSE
Ley 21.538,prevision_como_mercado,5,3,8,0.375,0.625,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos",FALSE,TRUE
Ley 21.538,propiedad_individual_fondos,0,0,0,NA,NA,Propiedad individual de los fondos,"Propiedad individual de
los fondos",FALSE,FALSE
Ley 21.538,reciprocidad_contributiva,0,11,11,1,0,Reciprocidad contributiva,Reciprocidad contributiva,TRUE,FALSE
Ley 21.538,solidaridad_intergeneracional,0,0,0,NA,NA,Solidaridad intergeneracional,"Solidaridad
intergeneracional",FALSE,FALSE
Ley 21.538,solidaridad_previsional_colectiva,0,2,2,1,0,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo",FALSE,FALSE
Ley 21.735,actitud,1,0,1,0,1,Actitud del beneficiario,Actitud del beneficiario,FALSE,FALSE
Ley 21.735,acuerdos_moderacion,13,103,116,0.8879310344827587,0.11206896551724138,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática",TRUE,FALSE
Ley 21.735,capitalizacion_individual,39,41,80,0.5125,0.4875,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento",FALSE,TRUE
Ley 21.735,conciencia_costos,26,52,78,0.6666666666666666,0.3333333333333333,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto",FALSE,FALSE
Ley 21.735,control_responsabilidad_individual,4,2,6,0.3333333333333333,0.6666666666666666,Control y responsabilidad individual,"Control y responsabilidad
individual",FALSE,FALSE
Ley 21.735,identidad,0,50,50,1,0,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal",FALSE,FALSE
Ley 21.735,igualdad_universalismo,1,82,83,0.9879518072289156,0.012048192771084338,Igualdad y universalismo,Igualdad y universalismo,FALSE,FALSE
Ley 21.735,ilegitimidad_origen_dictatorial,0,45,45,1,0,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial",FALSE,FALSE
Ley 21.735,ineficiencia_estado,33,45,78,0.5769230769230769,0.4230769230769231,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal",FALSE,TRUE
Ley 21.735,libertad_eleccion_previsional,2,40,42,0.9523809523809523,0.047619047619047616,Libertad de elección previsional,"Libertad de elección
previsional",FALSE,FALSE
Ley 21.735,necesidad_material,0,129,129,1,0,Necesidad material,Necesidad material,TRUE,FALSE
Ley 21.735,prevision_como_mercado,87,82,169,0.48520710059171596,0.514792899408284,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos",FALSE,TRUE
Ley 21.735,propiedad_individual_fondos,8,78,86,0.9069767441860465,0.09302325581395349,Propiedad individual de los fondos,"Propiedad individual de
los fondos",FALSE,FALSE
Ley 21.735,reciprocidad_contributiva,0,97,97,1,0,Reciprocidad contributiva,Reciprocidad contributiva,TRUE,FALSE
Ley 21.735,solidaridad_intergeneracional,13,16,29,0.5517241379310345,0.4482758620689655,Solidaridad intergeneracional,"Solidaridad
intergeneracional",FALSE,FALSE
Ley 21.735,solidaridad_previsional_colectiva,3,22,25,0.88,0.12,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo",FALSE,FALSE
