law,concept_id,intervenciones_con_concepto,intervenciones,proporcion,concept_label,short_label
Ley 21.419,actitud,0,120,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.419,acuerdos_moderacion,27,120,0.225,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.419,capitalizacion_individual,11,120,0.09166666666666666,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.419,conciencia_costos,30,120,0.25,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.419,control_responsabilidad_individual,2,120,0.016666666666666666,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.419,identidad,8,120,0.06666666666666667,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.419,igualdad_universalismo,36,120,0.3,Igualdad y universalismo,Igualdad y universalismo
Ley 21.419,ilegitimidad_origen_dictatorial,2,120,0.016666666666666666,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.419,ineficiencia_estado,0,120,0,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.419,libertad_eleccion_previsional,2,120,0.016666666666666666,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.419,necesidad_material,57,120,0.475,Necesidad material,Necesidad material
Ley 21.419,prevision_como_mercado,20,120,0.16666666666666666,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.419,propiedad_individual_fondos,3,120,0.025,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.419,reciprocidad_contributiva,20,120,0.16666666666666666,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.419,solidaridad_intergeneracional,1,120,0.008333333333333333,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.419,solidaridad_previsional_colectiva,14,120,0.11666666666666667,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.538,actitud,0,56,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.538,acuerdos_moderacion,6,56,0.10714285714285714,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.538,capitalizacion_individual,0,56,0,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.538,conciencia_costos,6,56,0.10714285714285714,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.538,control_responsabilidad_individual,0,56,0,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.538,identidad,10,56,0.17857142857142858,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.538,igualdad_universalismo,27,56,0.48214285714285715,Igualdad y universalismo,Igualdad y universalismo
Ley 21.538,ilegitimidad_origen_dictatorial,1,56,0.017857142857142856,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.538,ineficiencia_estado,0,56,0,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.538,libertad_eleccion_previsional,2,56,0.03571428571428571,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.538,necesidad_material,25,56,0.44642857142857145,Necesidad material,Necesidad material
Ley 21.538,prevision_como_mercado,8,56,0.14285714285714285,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.538,propiedad_individual_fondos,0,56,0,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.538,reciprocidad_contributiva,11,56,0.19642857142857142,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.538,solidaridad_intergeneracional,0,56,0,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.538,solidaridad_previsional_colectiva,2,56,0.03571428571428571,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.735,actitud,1,332,0.0030120481927710845,Actitud del beneficiario,Actitud del beneficiario
Ley 21.735,acuerdos_moderacion,116,332,0.3493975903614458,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.735,capitalizacion_individual,80,332,0.24096385542168675,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.735,conciencia_costos,69,332,0.20783132530120482,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.735,control_responsabilidad_individual,6,332,0.018072289156626505,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.735,identidad,50,332,0.15060240963855423,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.735,igualdad_universalismo,83,332,0.25,Igualdad y universalismo,Igualdad y universalismo
Ley 21.735,ilegitimidad_origen_dictatorial,45,332,0.1355421686746988,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.735,ineficiencia_estado,72,332,0.21686746987951808,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.735,libertad_eleccion_previsional,41,332,0.12349397590361445,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.735,necesidad_material,129,332,0.3885542168674699,Necesidad material,Necesidad material
Ley 21.735,prevision_como_mercado,155,332,0.46686746987951805,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.735,propiedad_individual_fondos,86,332,0.25903614457831325,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.735,reciprocidad_contributiva,97,332,0.2921686746987952,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.735,solidaridad_intergeneracional,29,332,0.08734939759036145,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.735,solidaridad_previsional_colectiva,25,332,0.07530120481927711,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
