law,stage,concept_id,intervenciones_con_concepto,intervenciones,proporcion,concept_label,short_label
Ley 21.419,Primer Trámite Constitucional,actitud,0,37,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.419,Primer Trámite Constitucional,acuerdos_moderacion,4,37,0.10810810810810811,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.419,Primer Trámite Constitucional,capitalizacion_individual,4,37,0.10810810810810811,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.419,Primer Trámite Constitucional,conciencia_costos,11,37,0.2972972972972973,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.419,Primer Trámite Constitucional,control_responsabilidad_individual,1,37,0.02702702702702703,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.419,Primer Trámite Constitucional,identidad,2,37,0.05405405405405406,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.419,Primer Trámite Constitucional,igualdad_universalismo,10,37,0.2702702702702703,Igualdad y universalismo,Igualdad y universalismo
Ley 21.419,Primer Trámite Constitucional,ilegitimidad_origen_dictatorial,0,37,0,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.419,Primer Trámite Constitucional,ineficiencia_estado,0,37,0,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.419,Primer Trámite Constitucional,libertad_eleccion_previsional,0,37,0,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.419,Primer Trámite Constitucional,necesidad_material,20,37,0.5405405405405406,Necesidad material,Necesidad material
Ley 21.419,Primer Trámite Constitucional,prevision_como_mercado,7,37,0.1891891891891892,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.419,Primer Trámite Constitucional,propiedad_individual_fondos,1,37,0.02702702702702703,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.419,Primer Trámite Constitucional,reciprocidad_contributiva,4,37,0.10810810810810811,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.419,Primer Trámite Constitucional,solidaridad_intergeneracional,0,37,0,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.419,Primer Trámite Constitucional,solidaridad_previsional_colectiva,4,37,0.10810810810810811,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.419,Segundo Trámite Constitucional,actitud,0,55,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.419,Segundo Trámite Constitucional,acuerdos_moderacion,16,55,0.2909090909090909,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.419,Segundo Trámite Constitucional,capitalizacion_individual,6,55,0.10909090909090909,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.419,Segundo Trámite Constitucional,conciencia_costos,12,55,0.21818181818181817,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.419,Segundo Trámite Constitucional,control_responsabilidad_individual,0,55,0,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.419,Segundo Trámite Constitucional,identidad,4,55,0.07272727272727272,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.419,Segundo Trámite Constitucional,igualdad_universalismo,20,55,0.36363636363636365,Igualdad y universalismo,Igualdad y universalismo
Ley 21.419,Segundo Trámite Constitucional,ilegitimidad_origen_dictatorial,2,55,0.03636363636363636,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.419,Segundo Trámite Constitucional,ineficiencia_estado,0,55,0,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.419,Segundo Trámite Constitucional,libertad_eleccion_previsional,1,55,0.01818181818181818,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.419,Segundo Trámite Constitucional,necesidad_material,21,55,0.38181818181818183,Necesidad material,Necesidad material
Ley 21.419,Segundo Trámite Constitucional,prevision_como_mercado,10,55,0.18181818181818182,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.419,Segundo Trámite Constitucional,propiedad_individual_fondos,2,55,0.03636363636363636,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.419,Segundo Trámite Constitucional,reciprocidad_contributiva,11,55,0.2,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.419,Segundo Trámite Constitucional,solidaridad_intergeneracional,0,55,0,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.419,Segundo Trámite Constitucional,solidaridad_previsional_colectiva,7,55,0.12727272727272726,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.419,Tercer Trámite Constitucional,actitud,0,28,0,Actitud del beneficiario,Actitud del beneficiario
Ley 21.419,Tercer Trámite Constitucional,acuerdos_moderacion,7,28,0.25,Acuerdos y moderación democrática,"Acuerdos y moderación
democrática"
Ley 21.419,Tercer Trámite Constitucional,capitalizacion_individual,1,28,0.03571428571428571,Capitalización individual como regla de autofinanciamiento,"Capitalización
individual como regla de
autofinanciamiento"
Ley 21.419,Tercer Trámite Constitucional,conciencia_costos,7,28,0.25,Conciencia de costos como restricción de gasto,"Conciencia de costos como
restricción de gasto"
Ley 21.419,Tercer Trámite Constitucional,control_responsabilidad_individual,1,28,0.03571428571428571,Control y responsabilidad individual,"Control y responsabilidad
individual"
Ley 21.419,Tercer Trámite Constitucional,identidad,2,28,0.07142857142857142,Identidad y pertenencia grupal,"Identidad y pertenencia
grupal"
Ley 21.419,Tercer Trámite Constitucional,igualdad_universalismo,6,28,0.21428571428571427,Igualdad y universalismo,Igualdad y universalismo
Ley 21.419,Tercer Trámite Constitucional,ilegitimidad_origen_dictatorial,0,28,0,Ilegitimidad del origen dictatorial,"Ilegitimidad del origen
dictatorial"
Ley 21.419,Tercer Trámite Constitucional,ineficiencia_estado,0,28,0,Ineficiencia y riesgo estatal,"Ineficiencia y riesgo
estatal"
Ley 21.419,Tercer Trámite Constitucional,libertad_eleccion_previsional,1,28,0.03571428571428571,Libertad de elección previsional,"Libertad de elección
previsional"
Ley 21.419,Tercer Trámite Constitucional,necesidad_material,16,28,0.5714285714285714,Necesidad material,Necesidad material
Ley 21.419,Tercer Trámite Constitucional,prevision_como_mercado,3,28,0.10714285714285714,"Previsión como mercado, negocio e incentivos","Previsión como mercado,
negocio e incentivos"
Ley 21.419,Tercer Trámite Constitucional,propiedad_individual_fondos,0,28,0,Propiedad individual de los fondos,"Propiedad individual de
los fondos"
Ley 21.419,Tercer Trámite Constitucional,reciprocidad_contributiva,5,28,0.17857142857142858,Reciprocidad contributiva,Reciprocidad contributiva
Ley 21.419,Tercer Trámite Constitucional,solidaridad_intergeneracional,1,28,0.03571428571428571,Solidaridad intergeneracional,"Solidaridad
intergeneracional"
Ley 21.419,Tercer Trámite Constitucional,solidaridad_previsional_colectiva,3,28,0.10714285714285714,Solidaridad como deber colectivo,"Solidaridad como deber
colectivo"
Ley 21.538,Primer Trámite Constitucional,actitud,0,39,0,Actitud del beneficiario,Actitud del beneficiario
