stratum_id,population_units,sampled_units,inclusion_probability,law_number,chamber,alignment,gender
stratum_04342f89e7ce9230,8,1,0.125,21735,Cámara,No aplica,mujer
stratum_0aad8e3358710917,25,3,0.12,21419,Cámara,izquierda,mujer
stratum_0b487d9e1e14371f,71,9,0.1267605633802817,21419,Cámara,izquierda,hombre
stratum_0d27ec00f4653afb,41,5,0.12195121951219512,21735,Cámara,centro,hombre
stratum_0e6ac7b5e56a5933,10,1,0.1,21419,Cámara,No aplica,mujer
stratum_15ceeb8cad6fdab3,22,3,0.13636363636363635,21419,Senado,nonpartisan,hombre
stratum_15f186e76117a395,28,4,0.14285714285714285,21538,Cámara,No aplica,hombre
stratum_1e1cab6e3a6a1370,40,5,0.125,21419,Senado,centro,mujer
stratum_26acce82319da7a6,48,6,0.125,21735,Cámara,No aplica,Sin dato
stratum_2868eaa648d9caa3,29,4,0.13793103448275862,21419,Cámara,nonpartisan,hombre
stratum_2961731d6114c571,164,21,0.12804878048780488,21735,Cámara,izquierda,mujer
stratum_2979f02352ddaadf,15,2,0.13333333333333333,21538,Cámara,derecha,mujer
stratum_300fe118c71c015d,62,8,0.12903225806451613,21419,Senado,derecha,hombre
stratum_3318b8d067821ec3,37,5,0.13513513513513514,21735,Senado,No aplica,Sin dato
stratum_3e8a94f3201eed39,5,1,0.2,21419,Senado,nonpartisan,mujer
stratum_4ab4677a098d3d61,12,1,0.08333333333333333,21538,Cámara,centro,hombre
stratum_4dff9c401d4a16e9,7,1,0.14285714285714285,21538,Senado,No aplica,hombre
stratum_4e719f5cdcea0b86,3,0,0.0,21538,Cámara,centro,mujer
stratum_5099c6d2fa5e3899,8,1,0.125,21735,Senado,nonpartisan,hombre
stratum_518b1e055bb5f64d,15,2,0.13333333333333333,21419,Senado,izquierda,mujer
stratum_52cc62b94870f4fd,80,10,0.125,21735,Cámara,nonpartisan,mujer
stratum_55170f32a63ceb00,11,1,0.09090909090909091,21538,Cámara,No aplica,Sin dato
stratum_5ed9b7a0568fa3cc,9,1,0.1111111111111111,21419,Senado,centro,hombre
stratum_66aa0d485513b69e,30,4,0.13333333333333333,21735,Senado,derecha,mujer
stratum_6dad8e6da746c889,13,2,0.15384615384615385,21538,Cámara,nonpartisan,hombre
stratum_7167a1549dea0882,4,0,0.0,21538,Senado,nonpartisan,hombre
stratum_860482c397cc966d,94,12,0.1276595744680851,21735,Senado,No aplica,hombre
stratum_8c14e7f45f5a3bd6,30,4,0.13333333333333333,21538,Cámara,izquierda,hombre
stratum_8cab4047a03fd740,15,2,0.13333333333333333,21419,Senado,No aplica,Sin dato
stratum_8e7a036caceb4dc1,28,4,0.14285714285714285,21735,Senado,centro,hombre
stratum_8ea7191b143fa728,7,1,0.14285714285714285,21419,Cámara,derecha,mujer
stratum_9187f44319416e82,1,0,0.0,21538,Senado,No aplica,mujer
stratum_96639ad0d876e13c,104,13,0.125,21419,Senado,izquierda,hombre
stratum_9e1575575ee32aec,58,7,0.1206896551724138,21735,Cámara,derecha,mujer
stratum_9e99d2445c6d7b63,29,4,0.13793103448275862,21735,Senado,centro,mujer
stratum_a870d61ffbc37ef7,14,2,0.14285714285714285,21538,Senado,izquierda,mujer
stratum_ad13a24dc7a0624f,190,24,0.12631578947368421,21735,Cámara,izquierda,hombre
stratum_ae48edb525a7adfa,12,1,0.08333333333333333,21735,Senado,nonpartisan,mujer
stratum_b0b7d32a6a0ceaa1,44,6,0.13636363636363635,21538,Senado,derecha,hombre
stratum_b1886b38676893f0,231,29,0.12554112554112554,21735,Senado,derecha,hombre
stratum_b405e9a44835fd5f,47,6,0.1276595744680851,21735,Senado,izquierda,mujer
stratum_b6641f27db46b242,221,28,0.12669683257918551,21735,Cámara,derecha,hombre
stratum_bd6ec2fad83ed063,11,1,0.09090909090909091,21735,Cámara,centro,mujer
stratum_c07caa1da440d235,17,2,0.11764705882352941,21419,Senado,No aplica,mujer
stratum_c7994d69658c0b28,17,2,0.11764705882352941,21538,Cámara,izquierda,mujer
stratum_cf077d6ef045ffce,186,23,0.12365591397849462,21735,Cámara,nonpartisan,hombre
stratum_cf0f7af234581e13,4,0,0.0,21538,Senado,centro,mujer
stratum_d08521593c6a4ef7,22,3,0.13636363636363635,21419,Cámara,centro,hombre
stratum_d435636ad6f7e8e6,65,8,0.12307692307692308,21419,Senado,No aplica,hombre
stratum_d889d364326fd804,46,6,0.13043478260869565,21538,Cámara,derecha,hombre
stratum_dac22fc56938e097,11,1,0.09090909090909091,21538,Senado,No aplica,Sin dato
stratum_e1f3601c5a47e234,55,7,0.12727272727272726,21419,Cámara,No aplica,hombre
stratum_efa9987787759cdb,70,9,0.12857142857142856,21419,Cámara,derecha,hombre
stratum_f1369e6e6e3f6e44,9,1,0.1111111111111111,21419,Cámara,No aplica,Sin dato
stratum_f5befb15244f28db,313,39,0.12460063897763578,21735,Cámara,No aplica,hombre
stratum_f9e9854960ce22ad,118,15,0.1271186440677966,21735,Senado,izquierda,hombre
stratum_fe9bb0bae32d7b09,1,0,0.0,21538,Cámara,nonpartisan,mujer
