stratum_id,population_units,sampled_units,inclusion_probability,law_number,chamber,alignment,gender
stratum_04342f89e7ce9230,6,1,0.16666666666666666,21735,Cámara,No aplica,mujer
stratum_0aad8e3358710917,5,1,0.2,21419,Cámara,izquierda,mujer
stratum_0b487d9e1e14371f,21,2,0.09523809523809523,21419,Cámara,izquierda,hombre
stratum_0d27ec00f4653afb,14,1,0.07142857142857142,21735,Cámara,centro,hombre
stratum_0e6ac7b5e56a5933,1,0,0.0,21419,Cámara,No aplica,mujer
stratum_14009a280aa4f836,4,0,0.0,21419,Senado,Sin dato,hombre
stratum_15ceeb8cad6fdab3,6,1,0.16666666666666666,21419,Senado,nonpartisan,hombre
stratum_15f186e76117a395,29,3,0.10344827586206896,21538,Cámara,No aplica,hombre
stratum_1c6f67825a0ba909,1,0,0.0,21419,Senado,derecha,mujer
stratum_1e1cab6e3a6a1370,8,1,0.125,21419,Senado,centro,mujer
stratum_26acce82319da7a6,6,1,0.16666666666666666,21735,Cámara,No aplica,Sin dato
stratum_2868eaa648d9caa3,6,1,0.16666666666666666,21419,Cámara,nonpartisan,hombre
stratum_2961731d6114c571,49,5,0.10204081632653061,21735,Cámara,izquierda,mujer
stratum_2979f02352ddaadf,4,0,0.0,21538,Cámara,derecha,mujer
stratum_300fe118c71c015d,22,2,0.09090909090909091,21419,Senado,derecha,hombre
stratum_3318b8d067821ec3,28,3,0.10714285714285714,21735,Senado,No aplica,Sin dato
stratum_3a8d517d181b9ed3,4,0,0.0,21735,Cámara,Sin dato,hombre
stratum_3e06c03746d1cbfc,1,0,0.0,21735,Cámara,Sin dato,mujer
stratum_4ab4677a098d3d61,3,0,0.0,21538,Cámara,centro,hombre
stratum_4c88877ce84ce9ab,1,0,0.0,21419,Cámara,Sin dato,hombre
stratum_4dff9c401d4a16e9,6,1,0.16666666666666666,21538,Senado,No aplica,hombre
stratum_4e719f5cdcea0b86,2,0,0.0,21538,Cámara,centro,mujer
stratum_5099c6d2fa5e3899,1,0,0.0,21735,Senado,nonpartisan,hombre
stratum_518b1e055bb5f64d,5,1,0.2,21419,Senado,izquierda,mujer
stratum_52cc62b94870f4fd,24,2,0.08333333333333333,21735,Cámara,nonpartisan,mujer
stratum_55170f32a63ceb00,2,0,0.0,21538,Cámara,No aplica,Sin dato
stratum_5d530ce23c6cf53d,1,0,0.0,21419,Senado,Sin dato,mujer
stratum_5ed9b7a0568fa3cc,2,0,0.0,21419,Senado,centro,hombre
stratum_66aa0d485513b69e,17,2,0.11764705882352941,21735,Senado,derecha,mujer
stratum_6dad8e6da746c889,5,0,0.0,21538,Cámara,nonpartisan,hombre
stratum_7167a1549dea0882,1,0,0.0,21538,Senado,nonpartisan,hombre
stratum_860482c397cc966d,91,9,0.0989010989010989,21735,Senado,No aplica,hombre
stratum_8c14e7f45f5a3bd6,10,1,0.1,21538,Cámara,izquierda,hombre
stratum_8cab4047a03fd740,7,1,0.14285714285714285,21419,Senado,No aplica,Sin dato
stratum_8e7a036caceb4dc1,5,1,0.2,21735,Senado,centro,hombre
stratum_8ea7191b143fa728,3,0,0.0,21419,Cámara,derecha,mujer
stratum_9187f44319416e82,2,0,0.0,21538,Senado,No aplica,mujer
stratum_96639ad0d876e13c,41,4,0.0975609756097561,21419,Senado,izquierda,hombre
stratum_9e1575575ee32aec,17,2,0.11764705882352941,21735,Cámara,derecha,mujer
stratum_9e99d2445c6d7b63,7,1,0.14285714285714285,21735,Senado,centro,mujer
stratum_a870d61ffbc37ef7,3,0,0.0,21538,Senado,izquierda,mujer
stratum_ad13a24dc7a0624f,68,7,0.10294117647058823,21735,Cámara,izquierda,hombre
stratum_ae48edb525a7adfa,5,0,0.0,21735,Senado,nonpartisan,mujer
stratum_b0b7d32a6a0ceaa1,15,2,0.13333333333333333,21538,Senado,derecha,hombre
stratum_b1886b38676893f0,33,3,0.09090909090909091,21735,Senado,derecha,hombre
stratum_b405e9a44835fd5f,7,1,0.14285714285714285,21735,Senado,izquierda,mujer
stratum_b6641f27db46b242,85,9,0.10588235294117647,21735,Cámara,derecha,hombre
stratum_bd6ec2fad83ed063,3,0,0.0,21735,Cámara,centro,mujer
stratum_c07caa1da440d235,20,2,0.1,21419,Senado,No aplica,mujer
stratum_c7994d69658c0b28,6,1,0.16666666666666666,21538,Cámara,izquierda,mujer
stratum_cf077d6ef045ffce,48,5,0.10416666666666667,21735,Cámara,nonpartisan,hombre
stratum_cf0f7af234581e13,1,0,0.0,21538,Senado,centro,mujer
stratum_d08521593c6a4ef7,6,1,0.16666666666666666,21419,Cámara,centro,hombre
stratum_d435636ad6f7e8e6,48,5,0.10416666666666667,21419,Senado,No aplica,hombre
stratum_d889d364326fd804,18,2,0.1111111111111111,21538,Cámara,derecha,hombre
stratum_dac22fc56938e097,3,0,0.0,21538,Senado,No aplica,Sin dato
stratum_e1f3601c5a47e234,32,3,0.09375,21419,Cámara,No aplica,hombre
stratum_efa9987787759cdb,21,2,0.09523809523809523,21419,Cámara,derecha,hombre
stratum_f1369e6e6e3f6e44,1,0,0.0,21419,Cámara,No aplica,Sin dato
stratum_f5befb15244f28db,189,19,0.10052910052910052,21735,Cámara,No aplica,hombre
stratum_f9e9854960ce22ad,14,1,0.07142857142857142,21735,Senado,izquierda,hombre
stratum_fd42b1f71900cdce,1,0,0.0,21735,Senado,Sin dato,mujer
stratum_fe9bb0bae32d7b09,1,0,0.0,21538,Cámara,nonpartisan,mujer
