unit_id,utterance_id,law_number,document_uri,sample_index,status,model,decision,n_annotations,needs_human_review,decision_justification,limitations,quality_flags,validation_errors,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens
utt_826958a471b195e53f39::p0001-p0002,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,0,completed,gpt-5.6-luna,no_statements,0,False,"El bloque describe la presentación de un informe, los asistentes y los expositores del proyecto, pero no contiene una justificación normativa sobre cómo debe organizarse, financiarse o gobernarse la protección previsional.",La codificación se limita al bloque objetivo; los contextos no aportan una justificación normativa aplicable.,"[""procedural""]",[],5926,326,0,220
utt_826958a471b195e53f39::p0003-p0005,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,1,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0006-p0011,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,2,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0012-p0017,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,3,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0018-p0020,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,4,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0021-p0022,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,5,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0023-p0027,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,6,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0028,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,7,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0029-p0030,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,8,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0031-p0033,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,9,pending,,,0,,,,[],[],0,0,0,0
utt_826958a471b195e53f39::p0034-p0035,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,10,pending,,,0,,,,[],[],0,0,0,0
utt_0a2f90dd109fb6c812c8::p0001-p0002,utt_0a2f90dd109fb6c812c8,21419,http://datos.bcn.cl/recurso/cl/documento/696951,11,pending,,,0,,,,[],[],0,0,0,0
utt_f5d978e1dc5bc3628dcc::p0001-p0004,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,12,pending,,,0,,,,[],[],0,0,0,0
utt_f5d978e1dc5bc3628dcc::p0005-p0006,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,13,pending,,,0,,,,[],[],0,0,0,0
utt_f5d978e1dc5bc3628dcc::p0007,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,14,pending,,,0,,,,[],[],0,0,0,0
utt_f5d978e1dc5bc3628dcc::p0008,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,15,pending,,,0,,,,[],[],0,0,0,0
