sample_index,unit_id,utterance_id,law_number,document_uri,annotation_id,concept_status,concept_id,proposed_concept,stance,start_char,end_char,evidence_text,justification
2,utt_826958a471b195e53f39::p0006-p0011,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,igualdad_universalismo,,support,0,192,El objetivo del proyecto es mejorar las pensiones de las y los actuales pensionadas y pensionados mediante la creación de una pensión garantizada universal de un monto máximo de 185 mil pesos.,"{""alternatives"":[{""concept_id"":""necesidad_material"",""reason"":""Aunque el bloque fija límites de ingresos y de pensión, la cita seleccionada no presenta carencia o vulnerabilidad como fundamento, sino la universalidad del beneficio.""}],""coding"":""La cita presenta como objetivo la creación de una pensión garantizada universal, formulando la cobertura universal como mecanismo para mejorar la protección previsional."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""Apoya que la protección previsional se otorgue con alcance universal."",""uncertainty"":""La denominación «universal» coexiste en el mismo bloque con requisitos de edad, residencia, ingreso y monto de pensión; podría referirse a la universalidad del beneficio entre quienes cumplen las condiciones, no a un acceso irrestricto.""}"
4,utt_826958a471b195e53f39::p0018-p0020,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,igualdad_universalismo,,support,426,507,"Podrán acceder al beneficio pensionados bajo cualquier modalidad, sin distinción.","{""alternatives"":[],""coding"":""La cláusula «sin distinción» establece una regla de igualdad de acceso y de trato entre pensionados de distintas modalidades."",""context_evidence"":[],""criterion_reference"":""include:2"",""stance"":""La cita apoya que la protección previsional se otorgue de manera igual, con independencia de la modalidad de pensión."",""uncertainty"":""El pasaje presenta la regla como parte de la descripción del beneficio y no explicita la igualdad como su fundamento; la codificación se basa en la regla expresa de acceso sin distinción.""}"
4,utt_826958a471b195e53f39::p0018-p0020,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_001,in_codebook,necesidad_material,,support,721,839,se incorpora a 56 mil nuevos beneficiarios mediante la ampliación de cobertura del 60 al 80 por ciento más vulnerable.,"{""alternatives"":[{""concept_id"":""igualdad_universalismo"",""reason"":""Aunque se amplía la cobertura, el criterio explícito es la vulnerabilidad material del grupo beneficiario y no la igualdad o universalidad del acceso.""}],""coding"":""La ampliación de cobertura se dirige explícitamente al grupo definido como «más vulnerable», usando la vulnerabilidad como criterio de asignación de protección."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""La cita apoya que quienes enfrentan mayores necesidades materiales reciban mayor cobertura previsional."",""uncertainty"":""No se especifica cómo se mide la vulnerabilidad, aunque el texto la usa expresamente para justificar la ampliación de cobertura.""}"
10,utt_826958a471b195e53f39::p0034-p0035,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,acuerdos_moderacion,,support,0,235,"Todo esto permitió un trabajo eficiente, colaborativo, que hizo posible mejorar sustantivamente no solo el proyecto de la PGU en la Comisión del Trabajo, y de su complemento, en la de Hacienda, sino también el de exenciones tributarias","{""alternatives"":[],""coding"":""La cita presenta el trabajo colaborativo como un instrumento que permitió mejorar sustantivamente la reforma previsional, otorgándole un valor positivo como forma de desarrollar la reforma."",""context_evidence"":[{""source"":""previous_context"",""text"":""A las reuniones formales les antecedieron en forma previa otras informales de los colegas de las Comisiones de Hacienda y del Trabajo con los equipos del Ministerio de Hacienda y del Presidente electo, Gabriel Boric, más Diputadas y Diputados.""}],""criterion_reference"":""include:1"",""stance"":""Al valorar la colaboración como medio eficaz para mejorar la reforma, respalda la orientación de que la cooperación y los acuerdos contribuyen a una solución previsional legítima y viable."",""uncertainty"":""La cita no menciona expresamente acuerdos, consenso, moderación ni posiciones contrapuestas; se interpreta «colaborativo» como una valoración del procedimiento cooperativo y requiere revisión humana.""}"
10,utt_826958a471b195e53f39::p0034-p0035,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_001,in_codebook,conciencia_costos,,oppose,207,278,"el de exenciones tributarias, que dará financiamiento a dicho beneficio","{""alternatives"":[],""coding"":""La cita afirma explícitamente que el proyecto de exenciones tributarias dará financiamiento al beneficio, presentándolo como una reforma con una fuente de financiamiento."",""context_evidence"":[],""criterion_reference"":""include:4"",""stance"":""Al afirmar que el beneficio contará con financiamiento, rechaza la proposición de que la reforma carezca de financiamiento o exceda la capacidad fiscal."",""uncertainty"":""No se afirma expresamente que el financiamiento sea sostenible en el largo plazo ni se cuantifica su suficiencia; la codificación se basa en la afirmación explícita de que el beneficio será financiado.""}"
14,utt_f5d978e1dc5bc3628dcc::p0007,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,conciencia_costos,,support,0,292,"No me gustan las alzas de impuestos, menos aquellas que van a perjudicar siempre a la maltrecha clase media. Pero, en medio de la crisis que ha producido la pandemia y el estallido delictual, no se ve otra forma de avanzar con este proyecto para que pueda sostenerse en el hoy y en el futuro.","{""alternatives"":[],""coding"":""Las alzas de impuestos se presentan como el único medio visible para que el proyecto pueda sostenerse en el presente y el futuro, vinculando su financiamiento con una condición de viabilidad financiera."",""context_evidence"":[],""criterion_reference"":""include:3"",""stance"":""Apoya la idea de que la sostenibilidad financiera constituye una restricción relevante del proyecto, aunque acepte las alzas de impuestos como respuesta a ella."",""uncertainty"":""La expresión «sostenerse» no cuantifica el costo ni especifica si se refiere exclusivamente a sostenibilidad fiscal, pero el vínculo inmediato con las alzas de impuestos permite interpretarla como una referencia al financiamiento.""}"
15,utt_f5d978e1dc5bc3628dcc::p0008,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,necesidad_material,,support,169,363,"para otros representa un ingreso nuevo, que va a permitir que ningún adulto mayor esté por debajo de la línea de la pobreza, lo que en sí mismo se traduce en una diferencia fundamental, esencial","{""alternatives"":[{""concept_id"":""igualdad_universalismo"",""reason"":""El cuantificador «ningún» permite una lectura universal, pero este código identifica específicamente la pobreza como fundamento material de la respuesta; el alcance universal se codifica por separado.""}],""coding"":""La cita usa la pobreza y la carencia de ingresos como razón para valorar positivamente una respuesta previsional: el nuevo ingreso evitaría que los adultos mayores permanezcan bajo la línea de pobreza."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""Apoya que quienes enfrentan una privación material reciban mayor protección previsional."",""uncertainty"":""El efecto se formula como resultado esperado del proyecto, pero se lo valora explícitamente como una diferencia fundamental, por lo que funciona como justificación y no solo como descripción.""}"
15,utt_f5d978e1dc5bc3628dcc::p0008,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_001,in_codebook,igualdad_universalismo,,support,169,363,"para otros representa un ingreso nuevo, que va a permitir que ningún adulto mayor esté por debajo de la línea de la pobreza, lo que en sí mismo se traduce en una diferencia fundamental, esencial","{""alternatives"":[{""concept_id"":""necesidad_material"",""reason"":""La línea de pobreza también activa necesidad_material, pero esa lectura explica la carencia atendida; este código recoge adicionalmente que el piso se plantea para toda la categoría de adultos mayores.""}],""coding"":""La expresión «ningún adulto mayor» formula un piso de protección para toda la población mayor y presenta ese alcance general como una diferencia fundamental del proyecto."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""Apoya una protección previsional universal, sin dejar a ningún adulto mayor bajo el nivel mínimo señalado."",""uncertainty"":""La universalidad se infiere del cuantificador «ningún adulto mayor»; el texto no utiliza literalmente «universal» ni formula el beneficio como un derecho.""}"
15,utt_f5d978e1dc5bc3628dcc::p0008,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_002,in_codebook,identidad,,support,294,461,"lo que en sí mismo se traduce en una diferencia fundamental, esencial y, por supuesto, en un cambio en el paradigma de cómo vemos y tratamos a nuestros adultos mayores","{""alternatives"":[{""concept_id"":""igualdad_universalismo"",""reason"":""El alcance general de la medida podría sugerir igualdad, pero esta cita fundamenta su valor en el trato a «nuestros» adultos mayores, no en la igualdad de acceso o de beneficios.""}],""coding"":""La referencia a «nuestros adultos mayores» presenta a las personas mayores como una comunidad propia y valora el cambio en su trato como una razón para considerar fundamental la medida previsional."",""context_evidence"":[],""criterion_reference"":""include:1"",""stance"":""Apoya que la pertenencia a la comunidad de adultos mayores justifique una protección y un trato diferenciados."",""uncertainty"":""«Nuestros» puede ser un posesivo retórico y el texto no explicita una comparación con personas externas, aunque sí vincula el proyecto con un cambio valorado en el trato a ese grupo.""}"
16,utt_f5d978e1dc5bc3628dcc::p0009-p0010,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,llm_000,in_codebook,necesidad_material,,support,28,220,siempre vamos a preferir que las platas del Fisco se usen para favorecer a los más desposeídos y no en plataformas que no discriminen entre los que tienen más y aquellos que tienen poco o nada,"{""alternatives"":[{""concept_id"":""igualdad_universalismo"",""reason"":""El contraste con plataformas que no discriminan también puede aludir al trato igual, pero la razón distributiva principal de este código es priorizar a las personas con menos recursos; la oposición al trato uniforme se codifica por separado.""}],""coding"":""La preferencia por usar recursos fiscales para favorecer a los más desposeídos convierte la menor disponibilidad económica en un criterio de prioridad para la protección previsional."",""context_evidence"":[],""criterion_reference"":""include:2"",""stance"":""Apoya que quienes enfrentan mayores necesidades materiales reciban mayor protección previsional."",""uncertainty"":""""}"
