law_number,utterance_id,blocks,valid_blocks,coverage_status
21419,utt_0a2f90dd109fb6c812c8,1,1,complete
21419,utt_15f118651c5c302148eb,1,1,complete
21419,utt_16b7b86cddb71ce01df4,1,1,complete
21419,utt_289b0fb559ca74901faf,4,3,partial
21419,utt_3e385b0c423b7ec5cae7,4,2,partial
21419,utt_3fa28e82f6041a105003,7,6,partial
21419,utt_45ecc3b5aa45ae62f932,3,3,complete
21419,utt_4c53b710b40430edbd03,4,3,partial
21419,utt_5164f57b16a245992f1a,2,2,complete
21419,utt_5228501d1f6af06fbf94,3,3,complete
21419,utt_5936a765677a1e5b9dc6,7,7,complete
21419,utt_6832b5e4cbc5440edce3,7,6,partial
21419,utt_69b0104a4a86fe6c854c,1,1,complete
21419,utt_826958a471b195e53f39,11,11,complete
21419,utt_872316bf7e8593e415d3,1,1,complete
21419,utt_8c30ef5e9a7e213d9dd6,1,0,none
21419,utt_989088388c8f5eb75ab8,1,1,complete
21419,utt_a6a87dbb877aceed15ea,3,3,complete
21419,utt_b9341b57a7bc037f529c,5,4,partial
21419,utt_bde4e376c13333198b6a,11,9,partial
21419,utt_e83df4d71a02276035ec,2,1,partial
21419,utt_ebb38da6519ff7d3cdec,1,1,complete
21419,utt_ee2dac9f03e0ca62dc2e,1,1,complete
21419,utt_efe6539eeb00b9a4cdd8,24,20,partial
21419,utt_f341957cdb85912bc40f,3,3,complete
21419,utt_f5d978e1dc5bc3628dcc,8,5,partial
21419,utt_f6c61c7e8c647248f5c7,2,2,complete
21538,utt_0deedd57a4d8e7017f09,3,3,complete
21538,utt_50b5d9f8c3d8b247ce23,6,2,partial
21538,utt_5887570a9b49e010e389,2,1,partial
21538,utt_613c5c803695564e1d3e,1,1,complete
21538,utt_6bb7528fedab2e4d0bcf,1,1,complete
21538,utt_c7e697eae3fb40d7e0d7,3,3,complete
21538,utt_cbd165e541e063cf008c,5,3,partial
21538,utt_d927f4f10c458b0a4f8a,1,1,complete
21538,utt_e1a3192cd687754b80cb,7,4,partial
21538,utt_e4905a4527b414754f30,2,2,complete
21538,utt_ffc413f03c80d91e4eab,1,1,complete
