law,old_unit_id,new_unit_id,old_sha256,new_sha256,old_words,new_words
21419,utt_c5aeaedcaf3f276cccc5::p0001-p0002,utt_c5aeaedcaf3f276cccc5::p0001-p0002,5959d162cef90ce4113fd8f33c19badd80c1ff7f28ccd7e61a937770b57981a4,5959d162cef90ce4113fd8f33c19badd80c1ff7f28ccd7e61a937770b57981a4,21,21
21419,utt_8e98432551801796a432::p0001-p0002,utt_8e98432551801796a432::p0001-p0002,7c4c998c30ab51c140ab1bb25ecc5643742e761ae5f71b6b7aef1b70c3335dd3,7c4c998c30ab51c140ab1bb25ecc5643742e761ae5f71b6b7aef1b70c3335dd3,132,132
21419,utt_8e98432551801796a432::p0003-p0004,utt_8e98432551801796a432::p0003-p0004,6776cba53e7a20d2ba8b05d4a736e42f1ff8a26fd2ffe867ad9f086660f80fc5,6776cba53e7a20d2ba8b05d4a736e42f1ff8a26fd2ffe867ad9f086660f80fc5,143,143
21419,utt_8e98432551801796a432::p0005,utt_8e98432551801796a432::p0005,7985f009d604629b59ba85756c9cdbe3afaf312dfd3ea363ec6bb32f764af796,7985f009d604629b59ba85756c9cdbe3afaf312dfd3ea363ec6bb32f764af796,118,118
21419,utt_8e98432551801796a432::p0006-p0008,utt_8e98432551801796a432::p0006-p0008,06e6fe71554f0a08950c26d16da3032ba740cceae12fb645f3f25392ec5a0d30,06e6fe71554f0a08950c26d16da3032ba740cceae12fb645f3f25392ec5a0d30,118,118
21419,utt_8e98432551801796a432::p0009,utt_8e98432551801796a432::p0009,f4b1c23a00953bf642e918b5aa99b754e8c8d29ac67212e96517356e06e9f04c,f4b1c23a00953bf642e918b5aa99b754e8c8d29ac67212e96517356e06e9f04c,75,75
21419,utt_8e98432551801796a432::p0010,utt_8e98432551801796a432::p0010,596494010fc51985721b748219bd952c75c72256d721338dd1cea681d9ffbe84,596494010fc51985721b748219bd952c75c72256d721338dd1cea681d9ffbe84,140,140
21419,utt_8e98432551801796a432::p0011-p0012,utt_8e98432551801796a432::p0011-p0012,5b7e0b0ca04cf682908b670160edd3c8da1bd1578f65a2f03cdb0149f9945e4d,5b7e0b0ca04cf682908b670160edd3c8da1bd1578f65a2f03cdb0149f9945e4d,109,109
21419,utt_8e98432551801796a432::p0013,utt_8e98432551801796a432::p0013,75349bea2eb82ec2a7bf5ec0d98ce41141d87edee9ff2678d4a0ec83d821ce13,75349bea2eb82ec2a7bf5ec0d98ce41141d87edee9ff2678d4a0ec83d821ce13,84,84
21419,utt_8e98432551801796a432::p0014-p0015,utt_8e98432551801796a432::p0014-p0015,1d50489cc7159555a3ec6c341b1d01adcc33bf562f6467d4b3c1c9f4712f785c,1d50489cc7159555a3ec6c341b1d01adcc33bf562f6467d4b3c1c9f4712f785c,125,125
